Time (ms)	Ch1 V	Ch2 V	Ch3 V	Ch1 A	Ch2 A	Ch3 A
0.000	0.018	10.314	-13.461	-0.229	0.426	-0.106
0.002	0.018	10.314	-13.461	-0.238	0.410	-0.106
0.005	0.037	10.307	-13.455	-0.246	0.418	-0.115
0.007	0.055	10.301	-13.467	-0.229	0.426	-0.123
0.010	0.067	10.295	-13.467	-0.221	0.426	-0.123
0.012	0.079	10.289	-13.467	-0.238	0.418	-0.115
0.015	0.097	10.289	-13.479	-0.229	0.418	-0.123
0.017	0.110	10.283	-13.473	-0.229	0.426	-0.123
0.020	0.134	10.271	-13.479	-0.213	0.434	-0.106
0.022	0.146	10.271	-13.492	-0.229	0.426	-0.106
0.024	0.170	10.265	-13.486	-0.229	0.426	-0.106
0.027	0.170	10.253	-13.486	-0.238	0.418	-0.115
0.029	0.189	10.259	-13.498	-0.238	0.418	-0.115
0.032	0.213	10.247	-13.492	-0.221	0.418	-0.106
0.034	0.219	10.234	-13.504	-0.213	0.426	-0.131
0.037	0.231	10.234	-13.510	-0.221	0.426	-0.115
0.039	0.250	10.241	-13.510	-0.229	0.434	-0.123
0.042	0.268	10.222	-13.510	-0.213	0.418	-0.123
0.044	0.274	10.228	-13.516	-0.221	0.426	-0.123
0.047	0.304	10.216	-13.516	-0.238	0.426	-0.123
0.049	0.304	10.222	-13.528	-0.221	0.426	-0.123
0.051	0.323	10.210	-13.522	-0.229	0.418	-0.123
0.054	0.341	10.210	-13.534	-0.221	0.434	-0.115
0.056	0.353	10.198	-13.528	-0.221	0.426	-0.123
0.059	0.371	10.210	-13.540	-0.229	0.434	-0.123
0.061	0.390	10.198	-13.540	-0.213	0.434	-0.115
0.064	0.408	10.192	-13.546	-0.213	0.434	-0.131
0.066	0.420	10.180	-13.546	-0.229	0.426	-0.115
0.069	0.438	10.186	-13.553	-0.221	0.426	-0.131
0.071	0.457	10.167	-13.559	-0.229	0.434	-0.115
0.073	0.457	10.174	-13.565	-0.229	0.426	-0.131
0.076	0.481	10.161	-13.565	-0.229	0.434	-0.123
0.078	0.499	10.161	-13.565	-0.213	0.426	-0.123
0.081	0.511	10.155	-13.571	-0.221	0.434	-0.123
0.083	0.530	10.149	-13.571	-0.213	0.418	-0.123
0.086	0.548	10.137	-13.577	-0.221	0.434	-0.131
0.088	0.554	10.149	-13.583	-0.221	0.426	-0.131
0.091	0.578	10.131	-13.583	-0.221	0.418	-0.131
