Time (ms)	Ch1 V	Ch2 V	Ch3 V	Ch1 A	Ch2 A	Ch3 A
0.000	0.012	11.915	-11.982	0.041	0.418	-0.090
0.003	0.024	11.909	-11.988	0.057	0.434	-0.082
0.006	0.043	11.897	-11.994	0.049	0.418	-0.090
0.008	0.055	11.884	-12.006	0.049	0.418	-0.082
0.011	0.067	11.878	-12.018	0.057	0.434	-0.074
0.014	0.085	11.878	-12.024	0.057	0.426	-0.082
0.017	0.104	11.866	-12.030	0.074	0.434	-0.082
0.020	0.110	11.860	-12.043	0.057	0.426	-0.082
0.022	0.128	11.854	-12.049	0.057	0.426	-0.090
0.025	0.152	11.854	-12.049	0.066	0.426	-0.090
0.028	0.164	11.842	-12.061	0.066	0.434	-0.082
0.031	0.170	11.836	-12.073	0.066	0.426	-0.090
0.034	0.189	11.830	-12.079	0.074	0.426	-0.098
0.036	0.207	11.817	-12.085	0.057	0.434	-0.082
0.039	0.213	11.817	-12.104	0.066	0.434	-0.082
0.042	0.244	11.811	-12.104	0.057	0.426	-0.082
0.045	0.244	11.805	-12.110	0.074	0.434	-0.098
0.048	0.262	11.793	-12.116	0.074	0.442	-0.090
0.050	0.280	11.793	-12.134	0.066	0.426	-0.090
0.053	0.298	11.781	-12.140	0.066	0.426	-0.082
0.056	0.304	11.781	-12.152	0.057	0.426	-0.082
0.059	0.335	11.775	-12.146	0.074	0.434	-0.090
0.062	0.335	11.769	-12.164	0.074	0.418	-0.090
0.064	0.353	11.750	-12.170	0.066	0.434	-0.098
0.067	0.365	11.750	-12.177	0.057	0.426	-0.098
0.070	0.371	11.756	-12.183	0.057	0.426	-0.098
0.073	0.390	11.732	-12.189	0.057	0.426	-0.098
0.076	0.408	11.732	-12.201	0.066	0.434	-0.090
0.078	0.426	11.714	-12.213	0.090	0.418	-0.090
0.081	0.438	11.708	-12.225	0.082	0.418	-0.098
0.084	0.457	11.714	-12.231	0.066	0.426	-0.098
