Time (ms)	Ch1 V	Ch2 V	Ch3 V	Ch1 A	Ch2 A	Ch3 A
0.000	0.006	11.890	-11.848	-0.516	0.418	-0.082
0.003	0.037	11.878	-11.866	-0.541	0.418	-0.074
0.006	0.037	11.878	-11.866	-0.532	0.410	-0.082
0.008	0.061	11.872	-11.872	-0.524	0.418	-0.082
0.011	0.067	11.872	-11.878	-0.541	0.426	-0.074
0.014	0.091	11.860	-11.897	-0.524	0.418	-0.082
0.017	0.097	11.848	-11.903	-0.532	0.418	-0.074
0.020	0.128	11.842	-11.915	-0.532	0.418	-0.090
0.022	0.146	11.836	-11.927	-0.516	0.426	-0.082
0.025	0.158	11.836	-11.927	-0.524	0.426	-0.090
0.028	0.177	11.817	-11.939	-0.532	0.418	-0.082
0.031	0.177	11.823	-11.951	-0.532	0.410	-0.090
0.034	0.201	11.805	-11.963	-0.532	0.418	-0.090
0.036	0.213	11.799	-11.951	-0.532	0.418	-0.090
0.039	0.237	11.799	-11.970	-0.524	0.426	-0.082
0.042	0.250	11.787	-11.976	-0.516	0.426	-0.098
0.045	0.262	11.781	-11.988	-0.524	0.418	-0.082
0.048	0.280	11.775	-11.994	-0.516	0.418	-0.090
0.050	0.286	11.769	-12.000	-0.516	0.426	-0.082
0.053	0.311	11.763	-12.018	-0.524	0.418	-0.082
0.056	0.323	11.756	-12.018	-0.524	0.418	-0.082
0.059	0.347	11.738	-12.037	-0.516	0.418	-0.090
0.062	0.347	11.738	-12.043	-0.532	0.418	-0.090
0.064	0.371	11.726	-12.049	-0.524	0.418	-0.082
0.067	0.377	11.726	-12.061	-0.516	0.418	-0.098
0.070	0.396	11.726	-12.067	-0.541	0.418	-0.074
0.073	0.414	11.714	-12.073	-0.516	0.418	-0.098
0.076	0.420	11.702	-12.079	-0.516	0.418	-0.090
0.078	0.451	11.696	-12.091	-0.516	0.426	-0.090
0.081	0.463	11.683	-12.097	-0.532	0.418	-0.090
0.084	0.469	11.683	-12.104	-0.532	0.426	-0.098
0.087	0.487	11.677	-12.116	-0.532	0.418	-0.106
0.090	0.493	11.665	-12.128	-0.532	0.418	-0.082
0.092	0.518	11.653	-12.128	-0.516	0.434	-0.090
0.095	0.530	11.653	-12.134	-0.532	0.426	-0.090
