Time (ms)	Ch1 V	Ch2 V	Ch3 V	Ch1 A	Ch2 A	Ch3 A
0.000	0.000	3.592	-19.075	0.066	0.352	-0.319
0.003	0.012	3.592	-19.075	0.049	0.360	-0.319
0.006	0.037	3.580	-19.081	0.057	0.360	-0.336
0.008	0.043	3.574	-19.081	0.041	0.352	-0.328
0.011	0.067	3.574	-19.081	0.049	0.360	-0.319
0.014	0.085	3.562	-19.087	0.057	0.352	-0.336
0.017	0.091	3.549	-19.087	0.049	0.360	-0.319
0.020	0.104	3.537	-19.093	0.057	0.360	-0.344
0.022	0.128	3.543	-19.093	0.049	0.360	-0.328
0.025	0.146	3.525	-19.087	0.066	0.360	-0.336
0.028	0.152	3.519	-19.093	0.066	0.352	-0.336
0.031	0.158	3.513	-19.087	0.066	0.352	-0.328
0.034	0.189	3.513	-19.099	0.066	0.360	-0.336
0.036	0.195	3.489	-19.105	0.066	0.352	-0.336
0.039	0.219	3.476	-19.099	0.057	0.352	-0.328
0.042	0.231	3.470	-19.105	0.057	0.352	-0.336
0.045	0.244	3.464	-19.105	0.066	0.360	-0.328
0.048	0.250	3.446	-19.099	0.074	0.352	-0.344
0.050	0.274	3.440	-19.105	0.049	0.352	-0.344
0.053	0.286	3.440	-19.105	0.074	0.352	-0.336
0.056	0.304	3.428	-19.111	0.066	0.360	-0.336
0.059	0.323	3.409	-19.111	0.082	0.360	-0.336
0.062	0.329	3.397	-19.105	0.057	0.352	-0.328
0.064	0.347	3.391	-19.111	0.082	0.352	-0.336
0.067	0.365	3.391	-19.111	0.057	0.352	-0.336
0.070	0.384	3.379	-19.117	0.074	0.352	-0.344
0.073	0.396	3.367	-19.129	0.074	0.344	-0.352
0.076	0.408	3.355	-19.111	0.066	0.352	-0.352
0.078	0.414	3.349	-19.117	0.074	0.344	-0.352
0.081	0.438	3.336	-19.129	0.066	0.344	-0.344
0.084	0.451	3.324	-19.123	0.082	0.352	-0.344
0.087	0.469	3.324	-19.129	0.090	0.352	-0.344
0.090	0.475	3.312	-19.123	0.082	0.344	-0.344
0.092	0.499	3.300	-19.129	0.082	0.352	-0.344
0.095	0.505	3.294	-19.129	0.106	0.336	-0.360
0.098	0.518	3.288	-19.129	0.082	0.344	-0.336
0.101	0.542	3.276	-19.129	0.082	0.344	-0.352
0.104	0.554	3.269	-19.136	0.082	0.352	-0.360
0.106	0.566	3.257	-19.129	0.098	0.352	-0.352
0.109	0.584	3.251	-19.136	0.098	0.344	-0.352
0.112	0.597	3.239	-19.142	0.098	0.352	-0.344
0.115	0.609	3.233	-19.142	0.090	0.360	-0.352
0.118	0.627	3.227	-19.136	0.082	0.352	-0.344
0.120	0.645	3.209	-19.142	0.074	0.352	-0.352
0.123	0.658	3.202	-19.154	0.082	0.344	-0.352
0.126	0.670	3.196	-19.154	0.098	0.352	-0.352
0.129	0.682	3.190	-19.148	0.082	0.352	-0.344
0.132	0.700	3.190	-19.148	0.082	0.336	-0.344
0.134	0.712	3.178	-19.154	0.098	0.352	-0.352
0.137	0.737	3.160	-19.154	0.090	0.352	-0.360
0.140	0.743	3.160	-19.160	0.098	0.344	-0.352
0.143	0.761	3.148	-19.160	0.098	0.352	-0.369
0.146	0.773	3.135	-19.166	0.082	0.344	-0.360
0.148	0.804	3.135	-19.160	0.098	0.336	-0.352
0.151	0.798	3.111	-19.166	0.074	0.352	-0.360
0.154	0.816	3.117	-19.172	0.098	0.344	-0.369
0.157	0.840	3.099	-19.172	0.098	0.344	-0.360
0.160	0.858	3.099	-19.166	0.115	0.352	-0.369
0.162	0.871	3.093	-19.178	0.098	0.352	-0.360
0.165	0.877	3.087	-19.178	0.098	0.344	-0.352
0.168	0.895	3.075	-19.178	0.106	0.352	-0.369
0.171	0.913	3.075	-19.184	0.090	0.344	-0.369
0.174	0.925	3.062	-19.184	0.098	0.344	-0.360
0.176	0.950	3.050	-19.184	0.106	0.344	-0.369
0.179	0.956	3.038	-19.196	0.106	0.344	-0.360
0.182	0.968	3.026	-19.196	0.098	0.344	-0.369
0.185	0.986	3.020	-19.196	0.115	0.352	-0.377
0.188	0.992	3.008	-19.196	0.098	0.344	-0.360
0.190	1.011	3.002	-19.209	0.115	0.344	-0.360
0.193	1.023	3.002	-19.202	0.115	0.352	-0.369
0.196	1.041	2.977	-19.221	0.106	0.352	-0.360
0.199	1.059	2.977	-19.209	0.106	0.344	-0.369
0.202	1.072	2.965	-19.202	0.106	0.336	-0.369
0.204	1.084	2.959	-19.209	0.131	0.344	-0.360
0.207	1.102	2.947	-19.215	0.098	0.344	-0.369
0.210	1.114	2.941	-19.215	0.115	0.328	-0.369
0.213	1.139	2.928	-19.215	0.106	0.344	-0.377
0.216	1.163	2.935	-19.221	0.106	0.344	-0.369
0.218	1.163	2.916	-19.221	0.115	0.344	-0.377
0.221	1.175	2.910	-19.227	0.115	0.352	-0.377
0.224	1.193	2.892	-19.227	0.115	0.344	-0.369
0.227	1.205	2.892	-19.227	0.123	0.344	-0.377
0.230	1.224	2.886	-19.227	0.098	0.344	-0.377
0.232	1.230	2.868	-19.233	0.115	0.344	-0.385
0.235	1.260	2.868	-19.239	0.123	0.352	-0.369
0.238	1.266	2.855	-19.245	0.131	0.336	-0.369
0.241	1.285	2.843	-19.239	0.123	0.336	-0.385
0.244	1.297	2.849	-19.239	0.131	0.344	-0.377
0.246	1.309	2.825	-19.245	0.123	0.344	-0.385
0.249	1.321	2.819	-19.245	0.139	0.336	-0.385
0.252	1.339	2.807	-19.233	0.131	0.336	-0.385
0.255	1.358	2.807	-19.245	0.123	0.336	-0.377
0.258	1.370	2.795	-19.239	0.115	0.336	-0.377
0.260	1.388	2.788	-19.251	0.115	0.328	-0.377
0.263	1.400	2.776	-19.257	0.115	0.336	-0.385
0.266	1.406	2.758	-19.257	0.115	0.336	-0.385
0.269	1.425	2.764	-19.251	0.131	0.336	-0.377
0.272	1.455	2.746	-19.251	0.139	0.328	-0.377
0.274	1.461	2.740	-19.257	0.131	0.336	-0.377
0.277	1.479	2.728	-19.251	0.123	0.352	-0.377
0.280	1.492	2.721	-19.257	0.139	0.344	-0.393
0.283	1.498	2.709	-19.251	0.131	0.336	-0.385
0.286	1.522	2.703	-19.269	0.139	0.336	-0.393
0.288	1.534	2.691	-19.269	0.139	0.336	-0.385
0.291	1.546	2.685	-19.263	0.131	0.336	-0.393
0.294	1.565	2.679	-19.263	0.139	0.328	-0.385
0.297	1.577	2.661	-19.263	0.156	0.336	-0.385
0.300	1.607	2.654	-19.269	0.123	0.336	-0.393
0.302	1.601	2.654	-19.263	0.131	0.336	-0.385
0.305	1.626	2.636	-19.269	0.139	0.328	-0.385
0.308	1.644	2.630	-19.263	0.156	0.328	-0.393
0.311	1.656	2.618	-19.276	0.139	0.336	-0.393
0.314	1.674	2.612	-19.276	0.156	0.336	-0.393
0.316	1.680	2.606	-19.276	0.147	0.336	-0.385
0.319	1.705	2.594	-19.269	0.131	0.336	-0.385
0.322	1.705	2.588	-19.276	0.147	0.336	-0.385
0.325	1.729	2.581	-19.276	0.147	0.336	-0.393
0.328	1.747	2.588	-19.276	0.139	0.328	-0.393
0.330	1.760	2.563	-19.276	0.147	0.328	-0.393
0.333	1.772	2.557	-19.294	0.139	0.336	-0.385
0.336	1.790	2.545	-19.288	0.147	0.328	-0.385
0.339	1.802	2.539	-19.288	0.147	0.336	-0.393
0.342	1.814	2.533	-19.282	0.156	0.336	-0.401
0.344	1.833	2.521	-19.294	0.139	0.336	-0.393
0.347	1.845	2.521	-19.294	0.156	0.344	-0.401
0.350	1.863	2.496	-19.294	0.156	0.328	-0.401
0.353	1.875	2.484	-19.282	0.156	0.336	-0.385
0.356	1.881	2.496	-19.294	0.156	0.336	-0.401
0.358	1.912	2.472	-19.294	0.172	0.328	-0.401
0.361	1.924	2.460	-19.294	0.147	0.336	-0.401
0.364	1.936	2.454	-19.306	0.139	0.336	-0.410
0.367	1.954	2.454	-19.306	0.164	0.319	-0.401
0.370	1.967	2.435	-19.300	0.164	0.328	-0.393
0.372	1.985	2.429	-19.300	0.164	0.336	-0.401
0.375	1.997	2.417	-19.312	0.156	0.336	-0.410
0.378	2.009	2.405	-19.306	0.147	0.336	-0.401
0.381	2.021	2.393	-19.306	0.156	0.344	-0.410
0.384	2.052	2.381	-19.306	0.172	0.319	-0.393
0.386	2.058	2.374	-19.318	0.164	0.319	-0.410
0.389	2.076	2.356	-19.312	0.147	0.328	-0.401
0.392	2.088	2.350	-19.312	0.164	0.344	-0.410
0.395	2.107	2.344	-19.318	0.164	0.336	-0.401
0.398	2.113	2.338	-19.318	0.156	0.319	-0.410
0.400	2.125	2.326	-19.318	0.172	0.328	-0.401
0.403	2.149	2.320	-19.324	0.172	0.328	-0.410
0.406	2.155	2.314	-19.318	0.156	0.328	-0.410
0.409	2.174	2.295	-19.324	0.156	0.319	-0.401
0.412	2.192	2.283	-19.324	0.156	0.336	-0.401
0.414	2.204	2.277	-19.336	0.164	0.319	-0.418
0.417	2.222	2.271	-19.324	0.172	0.336	-0.418
0.420	2.240	2.259	-19.336	0.180	0.328	-0.418
0.423	2.253	2.253	-19.336	0.172	0.336	-0.410
0.426	2.265	2.234	-19.336	0.164	0.319	-0.410
0.428	2.277	2.234	-19.330	0.172	0.319	-0.410
0.431	2.289	2.222	-19.336	0.172	0.328	-0.410
0.434	2.307	2.210	-19.330	0.164	0.328	-0.410
0.437	2.332	2.210	-19.343	0.164	0.336	-0.418
0.440	2.338	2.198	-19.343	0.180	0.336	-0.410
0.442	2.362	2.192	-19.343	0.180	0.328	-0.410
0.445	2.368	2.174	-19.330	0.180	0.319	-0.418
0.448	2.387	2.167	-19.336	0.172	0.328	-0.418
0.451	2.393	2.161	-19.336	0.188	0.336	-0.418
0.454	2.417	2.161	-19.330	0.180	0.319	-0.410
0.456	2.429	2.149	-19.336	0.180	0.328	-0.410
0.459	2.441	2.149	-19.336	0.188	0.319	-0.418
0.462	2.454	2.137	-19.330	0.188	0.328	-0.410
0.465	2.472	2.137	-19.330	0.188	0.328	-0.434
0.468	2.496	2.137	-19.330	0.180	0.328	-0.426
0.470	2.496	2.119	-19.318	0.188	0.328	-0.426
0.473	2.521	2.119	-19.330	0.188	0.328	-0.418
0.476	2.527	2.107	-19.318	0.197	0.328	-0.434
0.479	2.551	2.100	-19.324	0.197	0.319	-0.426
0.482	2.557	2.107	-19.318	0.197	0.319	-0.434
0.484	2.581	2.094	-19.318	0.197	0.311	-0.426
0.487	2.588	2.094	-19.312	0.188	0.319	-0.434
0.490	2.612	2.094	-19.306	0.180	0.328	-0.434
0.493	2.618	2.082	-19.306	0.188	0.328	-0.426
0.496	2.636	2.076	-19.306	0.188	0.311	-0.418
0.498	2.648	2.070	-19.294	0.180	0.328	-0.426
0.501	2.661	2.076	-19.294	0.180	0.328	-0.426
0.504	2.679	2.064	-19.288	0.180	0.311	-0.434
0.507	2.697	2.058	-19.294	0.180	0.328	-0.434
0.510	2.703	2.052	-19.282	0.197	0.328	-0.434
0.512	2.715	2.052	-19.276	0.180	0.319	-0.426
0.515	2.740	2.052	-19.269	0.197	0.328	-0.418
0.518	2.746	2.046	-19.276	0.197	0.319	-0.434
0.521	2.770	2.046	-19.269	0.197	0.319	-0.426
0.524	2.782	2.040	-19.263	0.197	0.328	-0.426
0.526	2.788	2.040	-19.257	0.172	0.319	-0.426
0.529	2.807	2.040	-19.251	0.205	0.311	-0.434
0.532	2.813	2.033	-19.245	0.213	0.311	-0.426
0.535	2.831	2.027	-19.245	0.188	0.319	-0.434
0.538	2.855	2.027	-19.239	0.213	0.319	-0.434
0.540	2.874	2.021	-19.227	0.205	0.319	-0.426
0.543	2.886	2.015	-19.227	0.197	0.328	-0.442
0.546	2.904	2.009	-19.221	0.205	0.328	-0.434
0.549	2.910	2.015	-19.221	0.197	0.311	-0.442
0.552	2.922	2.015	-19.215	0.197	0.311	-0.442
0.554	2.935	2.015	-19.209	0.188	0.311	-0.434
0.557	2.947	2.003	-19.209	0.213	0.311	-0.434
0.560	2.965	2.003	-19.190	0.205	0.319	-0.442
0.563	2.983	1.997	-19.190	0.213	0.311	-0.442
0.566	2.989	1.997	-19.190	0.188	0.319	-0.434
0.568	3.002	2.003	-19.178	0.197	0.311	-0.434
0.571	3.020	1.991	-19.178	0.205	0.311	-0.442
0.574	3.038	2.003	-19.172	0.197	0.311	-0.442
0.577	3.050	1.997	-19.160	0.205	0.311	-0.434
0.580	3.062	1.985	-19.160	0.205	0.319	-0.459
