Time (ms)	Ch1 V	Ch2 V	Ch3 V	Ch1 A	Ch2 A	Ch3 A
0.000	0.000	16.189	-7.732	-0.442	0.491	0.041
0.002	0.012	16.171	-7.738	-0.459	0.508	0.041
0.005	0.030	16.158	-7.750	-0.451	0.508	0.049
0.007	0.043	16.140	-7.769	-0.451	0.491	0.041
0.009	0.055	16.128	-7.781	-0.459	0.491	0.041
0.011	0.085	16.116	-7.793	-0.451	0.508	0.049
0.014	0.091	16.104	-7.805	-0.459	0.516	0.041
0.016	0.110	16.079	-7.811	-0.442	0.508	0.049
0.018	0.128	16.073	-7.823	-0.459	0.500	0.033
0.021	0.146	16.055	-7.848	-0.451	0.500	0.049
0.023	0.158	16.043	-7.854	-0.451	0.508	0.057
0.025	0.177	16.024	-7.866	-0.459	0.516	0.049
0.028	0.195	16.012	-7.872	-0.451	0.491	0.033
0.030	0.213	16.000	-7.890	-0.451	0.508	0.049
0.032	0.231	15.988	-7.897	-0.451	0.500	0.049
0.034	0.244	15.970	-7.903	-0.451	0.500	0.041
0.037	0.262	15.957	-7.921	-0.451	0.508	0.049
0.039	0.280	15.939	-7.933	-0.451	0.508	0.041
0.041	0.292	15.921	-7.951	-0.451	0.500	0.041
0.044	0.311	15.915	-7.957	-0.442	0.508	0.033
0.046	0.329	15.903	-7.970	-0.442	0.500	0.049
0.048	0.347	15.878	-7.982	-0.451	0.500	0.049
0.051	0.353	15.866	-7.994	-0.442	0.508	0.041
0.053	0.377	15.848	-8.006	-0.459	0.516	0.049
0.055	0.390	15.836	-8.018	-0.451	0.516	0.033
0.057	0.420	15.830	-8.037	-0.451	0.516	0.041
0.060	0.426	15.817	-8.055	-0.442	0.516	0.033
0.062	0.444	15.799	-8.055	-0.451	0.500	0.041
0.064	0.457	15.781	-8.067	-0.459	0.500	0.025
0.067	0.469	15.769	-8.085	-0.451	0.500	0.041
0.069	0.493	15.757	-8.091	-0.459	0.508	0.025
0.071	0.499	15.738	-8.104	-0.442	0.516	0.033
0.074	0.524	15.726	-8.122	-0.451	0.508	0.033
0.076	0.542	15.714	-8.134	-0.451	0.508	0.033
0.078	0.572	15.696	-8.146	-0.451	0.508	0.041
0.080	0.572	15.683	-8.158	-0.467	0.508	0.033
0.083	0.597	15.671	-8.170	-0.459	0.508	0.041
0.085	0.603	15.659	-8.183	-0.451	0.516	0.041
0.087	0.627	15.635	-8.195	-0.442	0.500	0.041
0.090	0.639	15.629	-8.207	-0.442	0.500	0.033
0.092	0.670	15.610	-8.225	-0.459	0.508	0.033
0.094	0.670	15.586	-8.225	-0.451	0.516	0.033
0.097	0.694	15.580	-8.244	-0.442	0.508	0.033
0.099	0.706	15.568	-8.262	-0.451	0.508	0.033
0.101	0.718	15.550	-8.262	-0.459	0.516	0.033
0.103	0.749	15.537	-8.274	-0.442	0.508	0.025
0.106	0.755	15.525	-8.298	-0.451	0.516	0.033
0.108	0.779	15.513	-8.304	-0.451	0.508	0.033
0.110	0.785	15.495	-8.323	-0.442	0.516	0.033
0.113	0.810	15.470	-8.329	-0.459	0.508	0.025
0.115	0.828	15.464	-8.347	-0.451	0.508	0.033
0.117	0.840	15.452	-8.353	-0.459	0.500	0.025
0.120	0.852	15.440	-8.384	-0.451	0.508	0.025
0.122	0.877	15.422	-8.384	-0.451	0.516	0.016
0.124	0.889	15.409	-8.396	-0.451	0.516	0.033
0.126	0.907	15.397	-8.408	-0.451	0.524	0.016
0.129	0.925	15.379	-8.420	-0.442	0.516	0.033
0.131	0.938	15.373	-8.438	-0.442	0.508	0.033
0.133	0.956	15.355	-8.451	-0.442	0.516	0.025
0.136	0.962	15.330	-8.469	-0.442	0.516	0.041
0.138	0.992	15.324	-8.469	-0.451	0.508	0.033
0.140	0.998	15.318	-8.487	-0.451	0.516	0.016
0.143	1.029	15.300	-8.499	-0.434	0.516	0.041
