Time (ms)	Ch1 V	Ch2 V	Ch3 V	Ch1 A	Ch2 A	Ch3 A
0.000	0.006	-0.006	0.006	0.009	0.000	-0.003
0.005	0.030	-0.006	0.000	0.009	0.000	-0.003
0.010	0.079	0.000	0.000	0.000	-0.008	-0.003
0.015	0.128	0.000	0.000	0.000	0.000	0.006
0.020	0.158	0.000	0.006	0.017	0.008	-0.003
0.025	0.201	0.000	-0.012	0.009	0.000	-0.003
0.031	0.231	0.000	0.000	0.017	0.000	0.006
0.036	0.268	0.000	-0.006	0.000	0.000	0.006
0.041	0.304	-0.006	0.000	0.000	0.000	-0.011
0.046	0.341	0.000	-0.006	0.017	0.000	-0.003
0.051	0.390	0.000	0.000	0.017	0.000	0.006
0.056	0.408	-0.006	-0.006	0.009	0.000	-0.011
0.061	0.451	-0.006	-0.006	0.009	0.000	0.006
0.066	0.493	-0.006	-0.006	0.009	0.000	-0.003
0.071	0.518	0.000	-0.006	0.000	0.000	-0.003
0.076	0.554	-0.012	-0.006	0.009	0.008	0.014
0.082	0.591	0.006	0.006	0.009	0.000	-0.003
0.087	0.627	-0.006	-0.006	0.000	-0.008	-0.011
0.092	0.658	-0.006	-0.006	0.009	0.000	-0.011
0.097	0.694	-0.006	0.000	0.000	0.000	-0.003
0.102	0.737	0.000	0.000	0.009	-0.008	-0.003
0.107	0.767	0.000	-0.006	0.009	0.000	-0.011
0.112	0.798	-0.006	0.006	0.009	0.000	0.014
0.117	0.834	-0.006	0.000	0.009	0.008	0.006
0.122	0.865	-0.006	0.012	0.009	0.000	-0.003
0.127	0.907	-0.006	0.012	0.017	0.008	0.006
0.133	0.932	0.000	0.018	0.009	0.008	0.006
0.138	0.968	-0.012	0.018	0.009	0.000	0.006
0.143	0.998	-0.006	0.037	0.000	0.000	-0.003
0.148	1.029	-0.006	0.049	0.009	0.000	0.006
0.153	1.072	0.000	0.055	0.017	0.008	0.014
0.158	1.096	0.000	0.061	0.017	0.000	0.006
0.163	1.132	0.000	0.079	0.017	0.000	0.014
0.168	1.169	-0.006	0.085	0.025	0.000	0.006
0.173	1.205	0.000	0.104	0.025	0.000	0.014
0.178	1.236	0.000	0.110	0.025	-0.016	0.014
