Time (ms)	Ch1 V	Ch2 V	Ch3 V	Ch1 A	Ch2 A	Ch3 A
0.000	0.018	0.000	13.717	0.009	0.008	1.513
0.005	0.067	-0.006	13.717	-0.016	0.008	1.521
0.010	0.097	-0.006	13.717	0.000	-0.008	1.513
0.015	0.146	-0.006	13.711	0.009	0.008	1.521
0.020	0.189	-0.006	13.723	0.009	0.008	1.513
0.025	0.225	-0.006	13.717	0.000	-0.008	1.521
0.031	0.256	-0.006	13.705	0.009	-0.008	1.513
0.036	0.304	-0.006	13.717	-0.008	-0.008	1.513
0.041	0.335	-0.012	13.705	-0.008	-0.008	1.513
0.046	0.365	0.000	13.711	-0.008	0.000	1.529
0.051	0.402	-0.006	13.705	-0.008	0.000	1.521
0.056	0.444	-0.006	13.705	-0.008	0.008	1.521
0.061	0.487	-0.006	13.705	-0.008	-0.008	1.521
0.066	0.518	0.000	13.699	-0.008	-0.008	1.513
0.071	0.554	-0.006	13.699	-0.008	0.008	1.521
0.076	0.591	0.006	13.705	-0.008	0.008	1.513
0.082	0.627	-0.006	13.705	0.009	0.000	1.513
0.087	0.658	-0.006	13.705	0.000	0.017	1.521
0.092	0.694	-0.012	13.693	0.017	0.000	1.521
0.097	0.731	-0.012	13.699	-0.008	-0.008	1.513
0.102	0.767	0.000	13.699	-0.008	-0.008	1.513
0.107	0.798	-0.006	13.693	-0.016	-0.008	1.513
0.112	0.840	-0.006	13.699	-0.008	0.008	1.513
0.117	0.877	-0.012	13.693	-0.008	0.000	1.513
0.122	0.907	-0.006	13.686	-0.016	-0.008	1.513
0.127	0.938	-0.006	13.693	-0.008	0.000	1.513
0.133	0.968	0.006	13.693	-0.016	0.000	1.513
0.138	1.017	-0.012	13.686	0.000	0.000	1.513
0.143	1.041	-0.006	13.686	0.000	0.008	1.504
0.148	1.078	-0.006	13.686	-0.008	0.000	1.513
0.153	1.108	-0.006	13.680	0.000	0.008	1.521
0.158	1.139	-0.006	13.674	0.000	-0.008	1.513
0.163	1.175	-0.006	13.680	0.009	0.000	1.521
0.168	1.205	-0.006	13.693	0.017	0.000	1.521
0.173	1.242	-0.006	13.674	0.000	0.008	1.521
0.178	1.272	0.006	13.674	0.000	-0.008	1.504
0.184	1.303	0.000	13.674	0.000	-0.008	1.513
0.189	1.333	-0.006	13.680	-0.008	0.000	1.504
0.194	1.370	-0.006	13.674	0.000	0.008	1.504
0.199	1.406	-0.006	13.674	0.000	0.008	1.521
0.204	1.437	-0.006	13.668	0.000	-0.008	1.513
0.209	1.473	0.000	13.668	0.000	0.000	1.513
0.214	1.516	-0.006	13.668	0.017	-0.008	1.496
0.219	1.553	0.000	13.662	-0.008	0.000	1.504
0.224	1.577	-0.012	13.668	0.000	-0.008	1.513
0.229	1.613	-0.006	13.662	0.000	0.008	1.513
0.235	1.650	0.000	13.668	-0.008	-0.008	1.504
0.240	1.680	0.000	13.662	0.000	-0.008	1.513
0.245	1.711	-0.006	13.662	-0.008	0.000	1.521
0.250	1.747	0.000	13.656	0.000	0.008	1.496
0.255	1.778	-0.006	13.656	0.000	-0.008	1.504
0.260	1.814	-0.006	13.656	0.000	-0.008	1.513
0.265	1.851	-0.006	13.656	0.009	-0.008	1.513
0.270	1.881	-0.018	13.656	-0.008	0.000	1.513
0.275	1.912	0.000	13.656	0.000	-0.008	1.521
0.280	1.954	-0.006	13.656	0.009	-0.008	1.504
0.286	1.985	-0.012	13.644	-0.008	-0.008	1.513
0.291	2.021	-0.006	13.650	0.000	-0.016	1.504
0.296	2.058	0.000	13.650	0.000	-0.008	1.513
0.301	2.094	-0.006	13.644	0.000	0.008	1.513
0.306	2.119	-0.012	13.650	-0.008	0.000	1.513
0.311	2.155	0.000	13.644	0.017	0.008	1.513
0.316	2.192	-0.006	13.650	0.009	-0.008	1.504
0.321	2.216	0.000	13.644	0.000	0.000	1.504
0.326	2.259	-0.006	13.644	0.009	-0.008	1.513
0.331	2.283	-0.006	13.638	0.017	-0.016	1.496
0.337	2.320	-0.006	13.638	0.009	0.008	1.496
0.342	2.356	-0.012	13.638	0.009	0.000	1.513
0.347	2.393	0.000	13.644	0.017	0.000	1.513
0.352	2.423	-0.006	13.632	0.000	0.000	1.504
0.357	2.454	-0.006	13.626	-0.008	0.000	1.504
0.362	2.490	-0.006	13.632	0.000	0.000	1.488
0.367	2.521	0.000	13.632	0.009	0.000	1.496
0.372	2.563	-0.006	13.632	0.009	0.000	1.513
0.377	2.581	-0.006	13.638	0.000	-0.008	1.504
0.382	2.624	-0.006	13.632	0.000	0.000	1.513
0.388	2.654	-0.006	13.620	-0.008	0.008	1.504
0.393	2.685	-0.006	13.626	0.000	0.000	1.513
0.398	2.721	-0.006	13.626	0.009	-0.008	1.504
0.403	2.758	-0.006	13.620	0.000	0.000	1.513
0.408	2.795	-0.006	13.620	0.009	0.008	1.504
0.413	2.819	-0.006	13.632	0.025	0.000	1.504
0.418	2.855	0.000	13.620	0.017	0.000	1.504
0.423	2.886	-0.012	13.620	-0.008	0.008	1.504
0.428	2.928	-0.012	13.620	0.000	-0.008	1.513
0.433	2.953	-0.006	13.620	0.000	0.000	1.496
0.439	2.989	-0.006	13.620	-0.008	0.000	1.504
0.444	3.020	-0.006	13.620	0.009	-0.008	1.513
0.449	3.056	0.000	13.601	-0.008	0.000	1.521
0.454	3.087	0.000	13.607	-0.008	0.000	1.504
0.459	3.117	0.000	13.607	0.000	0.000	1.504
0.464	3.154	-0.006	13.607	0.000	0.000	1.513
0.469	3.178	0.000	13.613	0.000	-0.008	1.496
0.474	3.215	-0.006	13.613	-0.008	0.000	1.513
