Time (ms)	Ch1 V	Ch2 V	Ch3 V	Ch1 A	Ch2 A	Ch3 A
0.000	0.006	11.373	11.282	0.106	0.066	1.229
0.005	0.030	11.373	11.276	0.115	0.066	1.237
0.009	0.055	11.373	11.282	0.098	0.066	1.220
0.014	0.079	11.373	11.276	0.139	0.074	1.229
0.018	0.134	11.379	11.276	0.123	0.074	1.229
0.023	0.225	11.379	11.276	0.131	0.082	1.237
0.027	0.554	11.397	11.294	0.115	0.090	1.237
0.032	0.298	11.379	11.282	0.131	0.115	1.237
0.036	0.219	11.379	11.282	0.115	0.115	1.229
0.041	0.250	11.379	11.288	0.123	0.115	1.237
0.045	0.262	11.385	11.282	0.115	0.123	1.237
0.050	0.268	11.385	11.288	0.115	0.123	1.237
0.055	0.268	11.385	11.282	0.139	0.131	1.229
0.059	0.286	11.385	11.288	0.139	0.139	1.229
0.064	0.292	11.379	11.269	0.131	0.139	1.229
0.068	0.317	11.379	11.282	0.147	0.164	1.229
0.073	0.317	11.373	11.282	0.164	0.156	1.245
0.077	0.329	11.385	11.282	0.156	0.156	1.237
0.082	0.353	11.379	11.282	0.156	0.172	1.229
0.086	0.359	11.385	11.282	0.172	0.172	1.229
0.091	0.377	11.391	11.276	0.172	0.188	1.229
0.096	0.390	11.385	11.276	0.172	0.180	1.245
0.100	0.402	11.379	11.282	0.180	0.180	1.220
0.105	0.414	11.391	11.276	0.180	0.197	1.220
0.109	0.432	11.379	11.276	0.180	0.205	1.237
0.114	0.438	11.385	11.269	0.197	0.213	1.237
0.118	0.457	11.385	11.282	0.213	0.213	1.229
0.123	0.463	11.379	11.276	0.221	0.213	1.229
0.127	0.487	11.379	11.276	0.213	0.229	1.229
0.132	0.499	11.385	11.276	0.221	0.229	1.237
0.136	0.511	11.385	11.276	0.221	0.238	1.229
0.141	0.524	11.391	11.276	0.238	0.238	1.237
0.146	0.542	11.397	11.282	0.262	0.254	1.229
0.150	0.554	11.391	11.282	0.238	0.262	1.229
0.155	0.572	11.391	11.269	0.254	0.278	1.237
0.159	0.578	11.397	11.276	0.278	0.278	1.237
0.164	0.597	11.385	11.269	0.262	0.278	1.245
0.168	0.603	11.385	11.276	0.278	0.295	1.220
0.173	0.621	11.385	11.276	0.303	0.295	1.229
0.177	0.639	11.391	11.282	0.303	0.303	1.245
0.182	0.651	11.391	11.276	0.303	0.303	1.229
0.187	0.658	11.391	11.276	0.328	0.319	1.229
0.191	0.670	11.397	11.282	0.319	0.328	1.229
0.196	0.682	11.391	11.282	0.336	0.328	1.237
0.200	0.700	11.397	11.282	0.344	0.352	1.220
0.205	0.706	11.391	11.269	0.360	0.352	1.229
0.209	0.725	11.391	11.282	0.369	0.360	1.229
0.214	0.731	11.397	11.276	0.360	0.369	1.229
0.218	0.755	11.397	11.282	0.377	0.377	1.229
0.223	0.761	11.403	11.288	0.393	0.385	1.237
0.227	0.767	11.397	11.276	0.401	0.393	1.229
0.232	0.785	11.403	11.276	0.393	0.401	1.229
0.237	0.798	11.416	11.276	0.418	0.401	1.237
0.241	0.810	11.403	11.276	0.426	0.418	1.245
0.246	0.828	11.409	11.282	0.426	0.426	1.245
0.250	0.840	11.403	11.282	0.426	0.426	1.229
0.255	0.852	11.403	11.276	0.442	0.451	1.229
0.259	0.865	11.403	11.282	0.451	0.459	1.237
0.264	0.883	11.416	11.282	0.467	0.459	1.229
0.268	0.889	11.416	11.276	0.475	0.475	1.237
0.273	0.907	11.416	11.282	0.491	0.475	1.229
0.278	0.932	11.416	11.276	0.483	0.491	1.237
0.282	0.932	11.409	11.294	0.483	0.491	1.229
0.287	0.956	11.416	11.276	0.524	0.524	1.229
0.291	0.968	11.422	11.282	0.516	0.516	1.229
0.296	0.986	11.422	11.276	0.524	0.532	1.237
0.300	1.011	11.409	11.288	0.524	0.532	1.245
0.305	1.023	11.428	11.282	0.532	0.549	1.229
0.309	1.047	11.428	11.282	0.549	0.565	1.229
0.314	1.059	11.428	11.288	0.565	0.557	1.229
0.318	1.090	11.428	11.282	0.590	0.590	1.229
0.323	1.096	11.428	11.282	0.590	0.590	1.229
0.328	1.114	11.428	11.288	0.606	0.606	1.229
0.332	1.145	11.434	11.294	0.614	0.614	1.229
0.337	1.163	11.428	11.288	0.614	0.639	1.237
0.341	1.175	11.428	11.282	0.623	0.631	1.229
0.346	1.187	11.434	11.288	0.639	0.647	1.229
0.350	1.224	11.440	11.294	0.663	0.663	1.220
0.355	1.230	11.434	11.288	0.680	0.680	1.237
0.359	1.260	11.440	11.294	0.680	0.688	1.237
0.364	1.285	11.446	11.288	0.680	0.688	1.229
0.369	1.297	11.452	11.300	0.696	0.713	1.229
0.373	1.321	11.446	11.300	0.713	0.729	1.245
0.378	1.333	11.446	11.294	0.729	0.729	1.220
0.382	1.364	11.446	11.300	0.737	0.745	1.237
0.387	1.382	11.452	11.300	0.729	0.762	1.245
0.391	1.406	11.458	11.288	0.762	0.778	1.245
0.396	1.425	11.464	11.306	0.762	0.786	1.237
0.400	1.443	11.458	11.300	0.786	0.795	1.237
0.405	1.461	11.470	11.300	0.803	0.803	1.237
0.409	1.479	11.458	11.300	0.819	0.827	1.229
0.414	1.510	11.464	11.306	0.835	0.835	1.237
0.419	1.528	11.470	11.294	0.827	0.852	1.237
0.423	1.553	11.470	11.294	0.852	0.860	1.245
0.428	1.571	11.464	11.306	0.868	0.876	1.237
0.432	1.601	11.470	11.312	0.876	0.885	1.229
0.437	1.613	11.476	11.306	0.885	0.901	1.237
0.441	1.638	11.476	11.306	0.909	0.909	1.237
0.446	1.656	11.476	11.300	0.926	0.926	1.237
0.450	1.674	11.470	11.306	0.917	0.942	1.237
0.455	1.711	11.476	11.312	0.942	0.942	1.237
0.460	1.729	11.483	11.312	0.958	0.950	1.229
0.464	1.741	11.483	11.312	0.958	0.975	1.229
0.469	1.772	11.476	11.312	0.991	0.983	1.237
0.473	1.784	11.483	11.312	0.999	0.991	1.229
0.478	1.814	11.489	11.312	0.991	1.016	1.229
0.482	1.839	11.489	11.318	1.007	1.016	1.229
0.487	1.863	11.501	11.312	1.040	1.016	1.237
0.491	1.887	11.501	11.312	1.040	1.048	1.229
0.496	1.906	11.501	11.318	1.048	1.048	1.237
0.500	1.936	11.501	11.318	1.065	1.065	1.237
0.505	1.948	11.501	11.318	1.081	1.073	1.237
0.510	1.973	11.501	11.318	1.089	1.089	1.245
0.514	1.991	11.501	11.312	1.089	1.106	1.237
0.519	2.015	11.513	11.318	1.098	1.114	1.237
0.523	2.040	11.513	11.330	1.106	1.114	1.237
0.528	2.070	11.513	11.324	1.139	1.130	1.237
0.532	2.094	11.513	11.324	1.155	1.130	1.237
0.537	2.107	11.513	11.324	1.147	1.155	1.237
0.541	2.125	11.513	11.330	1.163	1.163	1.229
0.546	2.155	11.525	11.324	1.171	1.171	1.229
0.551	2.186	11.519	11.330	1.179	1.188	1.237
0.555	2.192	11.519	11.330	1.196	1.188	1.229
0.560	2.228	11.525	11.336	1.212	1.204	1.229
0.564	2.247	11.531	11.330	1.237	1.220	1.253
0.569	2.271	11.531	11.330	1.229	1.220	1.237
0.573	2.295	11.525	11.324	1.237	1.245	1.237
0.578	2.314	11.531	11.330	1.253	1.253	1.237
0.582	2.332	11.531	11.330	1.261	1.270	1.245
0.587	2.344	11.531	11.330	1.278	1.270	1.237
0.591	2.381	11.537	11.330	1.286	1.278	1.245
0.596	2.387	11.531	11.330	1.294	1.294	1.237
0.601	2.411	11.537	11.336	1.286	1.294	1.245
0.605	2.435	11.537	11.342	1.311	1.311	1.229
0.610	2.454	11.543	11.336	1.327	1.327	1.237
0.614	2.472	11.537	11.336	1.319	1.327	1.245
0.619	2.496	11.549	11.336	1.343	1.327	1.229
0.623	2.514	11.531	11.342	1.343	1.352	1.245
0.628	2.539	11.543	11.336	1.352	1.343	1.245
0.632	2.563	11.549	11.342	1.352	1.360	1.245
0.637	2.588	11.549	11.349	1.384	1.384	1.245
0.642	2.606	11.556	11.349	1.368	1.376	1.245
0.646	2.630	11.549	11.336	1.392	1.384	1.245
0.651	2.661	11.543	11.349	1.409	1.392	1.245
0.655	2.685	11.549	11.355	1.392	1.392	1.237
0.660	2.703	11.549	11.342	1.392	1.392	1.237
0.664	2.728	11.543	11.349	1.409	1.417	1.237
0.669	2.752	11.549	11.349	1.417	1.417	1.237
0.673	2.776	11.556	11.349	1.442	1.409	1.229
0.678	2.807	11.549	11.349	1.442	1.433	1.245
0.682	2.819	11.562	11.349	1.442	1.433	1.237
0.687	2.837	11.556	11.349	1.433	1.433	1.245
0.692	2.874	11.556	11.349	1.433	1.442	1.253
0.696	2.886	11.556	11.355	1.450	1.442	1.229
0.701	2.910	11.562	11.349	1.442	1.442	1.245
0.705	2.941	11.562	11.342	1.450	1.450	1.245
0.710	2.965	11.562	11.355	1.458	1.442	1.245
0.714	2.989	11.562	11.349	1.442	1.458	1.237
0.719	3.014	11.562	11.349	1.458	1.474	1.245
0.723	3.032	11.562	11.355	1.474	1.458	1.245
