Time (ms)	Ch1 V	Ch2 V	Ch3 V	Ch1 A	Ch2 A	Ch3 A
0.000	0.006	10.715	10.539	0.451	1.180	1.177
0.005	0.012	10.715	10.551	0.484	1.172	1.160
0.010	0.012	10.721	10.539	0.516	1.188	1.160
0.015	0.024	10.721	10.539	0.525	1.172	1.169
0.020	0.030	10.721	10.545	0.566	1.172	1.169
0.025	0.037	10.728	10.539	0.590	1.180	1.160
0.031	0.043	10.721	10.539	0.631	1.180	1.169
0.036	0.049	10.715	10.551	0.656	1.180	1.160
0.041	0.055	10.721	10.551	0.680	1.172	1.169
0.046	0.061	10.728	10.551	0.705	1.180	1.160
0.051	0.073	10.721	10.557	0.729	1.172	1.169
0.056	0.085	10.734	10.563	0.762	1.172	1.160
0.061	0.079	10.721	10.551	0.787	1.180	1.169
0.066	0.085	10.734	10.557	0.811	1.180	1.169
0.071	0.091	10.734	10.551	0.869	1.163	1.185
0.076	0.104	10.734	10.551	0.893	1.180	1.177
0.082	0.116	10.740	10.557	0.934	1.172	1.177
0.087	0.122	10.734	10.557	0.967	1.180	1.169
0.092	0.122	10.740	10.557	1.008	1.180	1.160
0.097	0.140	10.734	10.557	1.032	1.172	1.169
0.102	0.152	10.746	10.563	1.041	1.172	1.169
0.107	0.146	10.752	10.563	1.090	1.172	1.169
0.112	0.158	10.758	10.569	1.123	1.180	1.160
0.117	0.177	10.752	10.575	1.164	1.172	1.169
0.122	0.189	10.764	10.575	1.188	1.180	1.177
0.127	0.201	10.764	10.581	1.221	1.188	1.169
0.133	0.219	10.764	10.575	1.254	1.180	1.169
0.138	0.231	10.782	10.581	1.286	1.180	1.185
0.143	0.268	10.788	10.600	1.311	1.188	1.177
0.148	0.311	10.801	10.618	1.336	1.188	1.169
0.153	0.560	10.880	10.673	1.377	1.188	1.177
0.158	2.210	11.349	11.142	1.278	1.229	1.218
0.163	0.566	11.227	11.050	1.245	1.229	1.218
0.168	1.181	11.166	10.983	1.204	1.229	1.210
0.173	0.712	11.129	10.941	1.204	1.229	1.218
0.178	0.901	11.111	10.928	1.204	1.221	1.210
0.184	0.798	11.093	10.916	1.196	1.221	1.201
0.189	0.852	11.099	10.910	1.196	1.212	1.201
0.194	0.846	11.099	10.916	1.204	1.221	1.210
0.199	0.871	11.105	10.928	1.196	1.212	1.201
0.204	0.883	11.117	10.928	1.204	1.212	1.201
0.209	0.895	11.111	10.935	1.188	1.221	1.210
0.214	0.919	11.129	10.941	1.204	1.212	1.210
0.219	0.932	11.129	10.959	1.204	1.229	1.218
0.224	0.956	11.135	10.953	1.213	1.229	1.210
0.229	0.974	11.148	10.965	1.213	1.212	1.210
0.235	0.998	11.148	10.971	1.213	1.212	1.210
0.240	1.023	11.166	10.989	1.204	1.221	1.210
0.245	1.041	11.172	10.989	1.204	1.229	1.218
0.250	1.059	11.184	10.995	1.204	1.229	1.218
0.255	1.090	11.190	11.002	1.213	1.212	1.218
0.260	1.114	11.196	11.020	1.213	1.221	1.226
0.265	1.132	11.209	11.032	1.221	1.229	1.218
0.270	1.163	11.233	11.038	1.213	1.229	1.218
0.275	1.187	11.233	11.044	1.221	1.229	1.226
0.280	1.205	11.251	11.056	1.221	1.245	1.226
0.286	1.230	11.257	11.069	1.229	1.237	1.210
0.291	1.266	11.263	11.075	1.221	1.229	1.226
0.296	1.285	11.269	11.087	1.229	1.245	1.226
0.301	1.315	11.294	11.099	1.221	1.237	1.226
0.306	1.333	11.294	11.099	1.221	1.237	1.218
0.311	1.376	11.312	11.117	1.237	1.245	1.226
0.316	1.394	11.324	11.123	1.213	1.237	1.218
0.321	1.425	11.324	11.148	1.229	1.245	1.234
0.326	1.443	11.330	11.154	1.229	1.229	1.226
0.331	1.473	11.349	11.154	1.229	1.237	1.234
0.337	1.492	11.355	11.172	1.221	1.245	1.234
0.342	1.522	11.367	11.172	1.237	1.245	1.234
0.347	1.553	11.373	11.184	1.237	1.237	1.234
0.352	1.577	11.391	11.196	1.237	1.253	1.242
0.357	1.595	11.391	11.202	1.229	1.253	1.242
0.362	1.626	11.409	11.202	1.254	1.245	1.234
0.367	1.650	11.416	11.227	1.237	1.245	1.242
0.372	1.680	11.416	11.239	1.245	1.262	1.242
0.377	1.699	11.428	11.239	1.245	1.245	1.242
0.382	1.729	11.434	11.245	1.245	1.253	1.251
0.388	1.760	11.440	11.257	1.245	1.245	1.251
0.393	1.784	11.452	11.257	1.245	1.262	1.242
0.398	1.814	11.464	11.276	1.245	1.262	1.242
0.403	1.839	11.470	11.288	1.254	1.262	1.259
0.408	1.863	11.483	11.300	1.245	1.253	1.251
0.413	1.893	11.495	11.294	1.245	1.253	1.242
0.418	1.912	11.501	11.306	1.237	1.270	1.242
0.423	1.948	11.507	11.318	1.262	1.270	1.251
0.428	1.973	11.519	11.336	1.237	1.262	1.251
0.433	1.997	11.525	11.336	1.245	1.270	1.251
0.439	2.027	11.531	11.336	1.262	1.278	1.251
0.444	2.052	11.537	11.349	1.245	1.262	1.259
0.449	2.076	11.556	11.355	1.262	1.278	1.242
0.454	2.100	11.556	11.361	1.254	1.253	1.251
0.459	2.131	11.562	11.367	1.245	1.270	1.251
0.464	2.155	11.580	11.373	1.254	1.262	1.267
0.469	2.180	11.580	11.385	1.270	1.270	1.275
0.474	2.198	11.592	11.385	1.245	1.270	1.259
0.479	2.222	11.598	11.403	1.254	1.262	1.267
0.484	2.247	11.598	11.397	1.254	1.270	1.259
0.490	2.277	11.610	11.416	1.262	1.270	1.259
0.495	2.314	11.616	11.422	1.262	1.286	1.259
0.500	2.326	11.616	11.428	1.262	1.286	1.259
0.505	2.362	11.629	11.428	1.262	1.270	1.259
0.510	2.381	11.641	11.440	1.270	1.278	1.267
0.515	2.405	11.647	11.440	1.270	1.278	1.267
0.520	2.429	11.647	11.452	1.278	1.270	1.283
0.525	2.454	11.641	11.464	1.262	1.286	1.251
0.530	2.478	11.653	11.464	1.270	1.286	1.275
0.535	2.502	11.665	11.476	1.254	1.278	1.259
0.541	2.533	11.665	11.470	1.270	1.278	1.275
0.546	2.551	11.677	11.476	1.262	1.278	1.259
0.551	2.563	11.683	11.489	1.278	1.278	1.259
0.556	2.581	11.690	11.495	1.278	1.294	1.267
0.561	2.600	11.671	11.489	1.262	1.278	1.267
0.566	2.624	11.696	11.483	1.262	1.286	1.267
0.571	2.648	11.690	11.489	1.262	1.270	1.259
0.576	2.667	11.690	11.489	1.270	1.278	1.267
0.581	2.697	11.696	11.495	1.270	1.294	1.275
0.586	2.715	11.690	11.501	1.262	1.286	1.275
0.592	2.728	11.696	11.507	1.270	1.286	1.283
0.597	2.764	11.683	11.507	1.270	1.286	1.267
0.602	2.788	11.696	11.501	1.270	1.278	1.267
0.607	2.801	11.702	11.507	1.270	1.286	1.275
0.612	2.825	11.702	11.495	1.278	1.278	1.275
0.617	2.849	11.708	11.495	1.262	1.286	1.259
0.622	2.874	11.696	11.501	1.278	1.286	1.283
0.627	2.898	11.702	11.501	1.254	1.278	1.267
0.632	2.910	11.696	11.501	1.278	1.278	1.275
0.637	2.941	11.702	11.507	1.278	1.286	1.259
0.643	2.965	11.696	11.507	1.254	1.278	1.267
0.648	2.983	11.690	11.501	1.270	1.278	1.259
0.653	3.014	11.696	11.495	1.270	1.278	1.275
0.658	3.032	11.696	11.495	1.254	1.278	1.267
0.663	3.056	11.690	11.495	1.262	1.286	1.275
0.668	3.075	11.683	11.501	1.278	1.286	1.275
0.673	3.105	11.690	11.495	1.262	1.278	1.259
0.678	3.129	11.690	11.489	1.270	1.286	1.267
0.683	3.160	11.683	11.495	1.262	1.278	1.267
0.688	3.178	11.683	11.483	1.262	1.286	1.275
0.694	3.202	11.677	11.489	1.278	1.270	1.267
0.699	3.233	11.671	11.489	1.278	1.270	1.267
0.704	3.251	11.677	11.489	1.278	1.278	1.275
0.709	3.276	11.677	11.476	1.270	1.286	1.275
0.714	3.300	11.671	11.483	1.262	1.286	1.259
0.719	3.330	11.677	11.489	1.278	1.278	1.267
0.724	3.355	11.677	11.476	1.254	1.286	1.267
0.729	3.379	11.671	11.476	1.270	1.286	1.259
0.734	3.409	11.665	11.470	1.270	1.278	1.275
0.739	3.434	11.665	11.470	1.262	1.278	1.275
0.745	3.458	11.671	11.483	1.262	1.270	1.267
0.750	3.489	11.665	11.470	1.262	1.278	1.267
0.755	3.525	11.659	11.470	1.278	1.278	1.259
0.760	3.549	11.659	11.464	1.278	1.270	1.275
0.765	3.586	11.659	11.464	1.270	1.286	1.267
0.770	3.616	11.647	11.464	1.286	1.286	1.267
0.775	3.653	11.653	11.458	1.278	1.270	1.259
0.780	3.677	11.647	11.458	1.270	1.262	1.267
0.785	3.708	11.653	11.452	1.262	1.278	1.275
0.790	3.738	11.653	11.446	1.278	1.278	1.267
0.796	3.775	11.653	11.446	1.270	1.278	1.259
0.801	3.805	11.641	11.440	1.270	1.270	1.259
0.806	3.836	11.641	11.446	1.262	1.286	1.259
0.811	3.872	11.629	11.440	1.237	1.270	1.267
0.816	3.909	11.629	11.434	1.278	1.278	1.259
0.821	3.945	11.635	11.428	1.270	1.270	1.267
0.826	3.976	11.610	11.434	1.270	1.278	1.267
0.831	4.006	11.616	11.428	1.262	1.270	1.259
0.836	4.043	11.616	11.422	1.254	1.262	1.267
0.841	4.073	11.610	11.416	1.254	1.270	1.267
0.847	4.116	11.610	11.416	1.270	1.270	1.259
0.852	4.146	11.604	11.409	1.262	1.270	1.267
0.857	4.177	11.598	11.403	1.262	1.278	1.259
0.862	4.213	11.604	11.397	1.262	1.278	1.259
0.867	4.244	11.598	11.403	1.262	1.270	1.259
0.872	4.280	11.580	11.403	1.254	1.270	1.259
0.877	4.317	11.592	11.397	1.262	1.270	1.259
0.882	4.353	11.580	11.385	1.262	1.270	1.259
0.887	4.390	11.574	11.391	1.262	1.270	1.259
0.892	4.426	11.574	11.385	1.262	1.262	1.259
0.898	4.469	11.574	11.379	1.278	1.270	1.242
0.903	4.499	11.574	11.385	1.254	1.262	1.259
0.908	4.548	11.580	11.379	1.245	1.270	1.251
0.913	4.572	11.568	11.379	1.262	1.270	1.259
0.918	4.621	11.562	11.373	1.237	1.262	1.251
0.923	4.658	11.574	11.379	1.270	1.262	1.251
0.928	4.706	11.562	11.373	1.270	1.270	1.259
0.933	4.737	11.568	11.367	1.262	1.270	1.251
0.938	4.779	11.568	11.367	1.245	1.270	1.251
0.943	4.822	11.562	11.373	1.262	1.270	1.259
0.949	4.858	11.562	11.367	1.262	1.278	1.259
0.954	4.901	11.562	11.379	1.254	1.262	1.251
0.959	4.938	11.562	11.373	1.254	1.270	1.267
0.964	4.974	11.562	11.373	1.245	1.278	1.267
0.969	5.017	11.568	11.367	1.270	1.270	1.259
0.974	5.047	11.574	11.367	1.262	1.262	1.251
0.979	5.090	11.562	11.373	1.254	1.270	1.251
0.984	5.132	11.562	11.373	1.254	1.270	1.259
0.989	5.169	11.562	11.379	1.245	1.278	1.242
0.994	5.212	11.562	11.379	1.262	1.278	1.259
1.000	5.254	11.574	11.373	1.262	1.262	1.259
1.005	5.279	11.580	11.373	1.245	1.270	1.267
1.010	5.321	11.580	11.367	1.262	1.278	1.251
1.015	5.358	11.568	11.385	1.254	1.270	1.251
1.020	5.400	11.574	11.391	1.262	1.270	1.251
1.025	5.437	11.568	11.391	1.262	1.270	1.251
1.030	5.473	11.568	11.385	1.262	1.262	1.259
1.035	5.510	11.580	11.385	1.254	1.270	1.259
1.040	5.546	11.586	11.397	1.245	1.278	1.251
1.045	5.583	11.580	11.385	1.237	1.270	1.251
1.051	5.607	11.580	11.397	1.254	1.270	1.259
1.056	5.656	11.586	11.385	1.245	1.270	1.275
1.061	5.705	11.586	11.391	1.254	1.270	1.275
1.066	5.723	11.586	11.403	1.270	1.270	1.251
1.071	5.772	11.598	11.397	1.245	1.270	1.259
1.076	5.802	11.598	11.403	1.262	1.270	1.259
1.081	5.845	11.592	11.403	1.262	1.278	1.259
1.086	5.869	11.592	11.403	1.262	1.278	1.267
1.091	5.906	11.598	11.403	1.254	1.270	1.251
1.096	5.936	11.598	11.409	1.270	1.270	1.259
1.102	5.979	11.604	11.409	1.254	1.278	1.259
1.107	5.997	11.610	11.409	1.270	1.278	1.267
1.112	6.046	11.604	11.422	1.262	1.262	1.259
1.117	6.076	11.604	11.422	1.245	1.278	1.259
1.122	6.107	11.610	11.416	1.262	1.278	1.267
1.127	6.137	11.610	11.428	1.270	1.270	1.259
1.132	6.167	11.623	11.422	1.262	1.278	1.267
1.137	6.198	11.623	11.428	1.270	1.262	1.259
1.142	6.247	11.623	11.434	1.254	1.270	1.259
1.147	6.265	11.629	11.428	1.254	1.270	1.259
1.153	6.295	11.635	11.440	1.278	1.270	1.259
1.158	6.332	11.641	11.440	1.262	1.278	1.259
1.163	6.362	11.635	11.440	1.254	1.270	1.267
1.168	6.387	11.641	11.440	1.270	1.278	1.259
1.173	6.423	11.647	11.446	1.262	1.278	1.267
1.178	6.454	11.647	11.452	1.278	1.278	1.267
1.183	6.478	11.653	11.458	1.270	1.278	1.267
1.188	6.514	11.647	11.458	1.254	1.270	1.275
1.193	6.539	11.665	11.470	1.262	1.286	1.267
1.198	6.569	11.653	11.458	1.270	1.270	1.267
1.204	6.588	11.659	11.464	1.286	1.278	1.275
1.209	6.624	11.659	11.470	1.270	1.278	1.259
1.214	6.648	11.665	11.464	1.270	1.270	1.267
1.219	6.673	11.659	11.458	1.270	1.294	1.259
1.224	6.703	11.665	11.476	1.278	1.278	1.259
1.229	6.728	11.665	11.470	1.278	1.286	1.259
1.234	6.764	11.671	11.470	1.286	1.286	1.267
1.239	6.795	11.671	11.464	1.278	1.270	1.267
1.244	6.807	11.671	11.476	1.245	1.278	1.267
1.249	6.837	11.671	11.464	1.270	1.278	1.267
1.255	6.868	11.677	11.464	1.262	1.294	1.259
1.260	6.886	11.677	11.483	1.262	1.278	1.259
1.265	6.916	11.671	11.483	1.270	1.278	1.267
1.270	6.941	11.677	11.476	1.270	1.278	1.259
1.275	6.965	11.677	11.483	1.270	1.270	1.259
1.280	6.989	11.671	11.483	1.262	1.286	1.267
1.285	7.014	11.677	11.483	1.286	1.278	1.259
1.290	7.038	11.671	11.483	1.262	1.278	1.267
1.295	7.062	11.671	11.476	1.270	1.278	1.259
1.300	7.093	11.677	11.483	1.270	1.278	1.275
1.306	7.117	11.671	11.470	1.270	1.286	1.259
1.311	7.135	11.671	11.483	1.262	1.278	1.267
1.316	7.160	11.683	11.470	1.278	1.286	1.275
1.321	7.190	11.671	11.483	1.278	1.278	1.275
1.326	7.209	11.665	11.470	1.278	1.286	1.267
