Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
0.000	0.048	1.751	-7.994	0.041
0.005	0.085	1.830	-7.978	0.033
0.009	0.127	1.927	-7.970	0.033
0.014	0.188	2.025	-7.962	0.033
0.018	0.243	2.128	-7.962	0.033
0.023	0.285	2.219	-7.953	0.025
0.027	0.334	2.317	-7.937	0.041
0.032	0.383	2.408	-7.937	0.041
0.036	0.438	2.506	-7.921	0.041
0.041	0.480	2.609	-7.921	0.033
0.045	0.535	2.694	-7.912	0.041
0.050	0.584	2.786	-7.896	0.041
0.055	0.626	2.883	-7.888	0.041
0.059	0.681	2.974	-7.880	0.033
0.064	0.724	3.053	-7.871	0.049
0.068	0.766	3.151	-7.863	0.033
0.073	0.815	3.248	-7.855	0.041
0.077	0.858	3.340	-7.863	0.041
0.082	0.913	3.425	-7.839	0.049
0.086	0.943	3.504	-7.822	0.033
0.091	0.998	3.589	-7.814	0.033
0.096	1.040	3.681	-7.806	0.033
0.100	1.089	3.766	-7.790	0.033
0.105	1.132	3.851	-7.781	0.025
0.109	1.174	3.930	-7.765	0.033
0.114	1.217	4.022	-7.757	0.041
0.118	1.260	4.101	-7.749	0.049
0.123	1.302	4.180	-7.724	0.033
0.127	1.345	4.259	-7.724	0.041
0.132	1.387	4.344	-7.716	0.033
0.136	1.436	4.423	-7.699	0.049
0.141	1.473	4.509	-7.683	0.041
0.146	1.521	4.588	-7.675	0.033
0.150	1.564	4.673	-7.659	0.033
0.155	1.601	4.740	-7.634	0.033
0.159	1.643	4.825	-7.626	0.049
0.164	1.680	4.904	-7.626	0.033
0.168	1.710	4.983	-7.601	0.041
0.173	1.759	5.063	-7.593	0.049
0.177	1.795	5.136	-7.585	0.041
0.182	1.838	5.215	-7.568	0.049
0.187	1.881	5.288	-7.552	0.033
0.191	1.923	5.361	-7.552	0.041
0.196	1.954	5.434	-7.519	0.041
0.200	1.984	5.519	-7.503	0.033
0.205	2.021	5.580	-7.495	0.033
0.209	2.069	5.653	-7.462	0.033
0.214	2.100	5.726	-7.462	0.033
0.218	2.136	5.799	-7.454	0.033
0.223	2.179	5.866	-7.446	0.033
0.227	2.209	5.945	-7.405	0.033
0.232	2.246	6.006	-7.405	0.033
0.237	2.288	6.073	-7.388	0.041
0.241	2.313	6.152	-7.372	0.033
0.246	2.362	6.207	-7.364	0.025
0.250	2.392	6.280	-7.347	0.041
0.255	2.416	6.347	-7.323	0.041
0.259	2.453	6.414	-7.306	0.033
0.264	2.489	6.475	-7.290	0.033
0.268	2.526	6.548	-7.274	0.033
0.273	2.544	6.609	-7.265	0.041
0.278	2.593	6.670	-7.241	0.041
0.282	2.623	6.737	-7.233	0.033
0.287	2.660	6.792	-7.208	0.041
0.291	2.690	6.865	-7.200	0.041
0.296	2.733	6.926	-7.175	0.033
0.300	2.751	6.993	-7.167	0.033
0.305	2.788	7.060	-7.142	0.033
0.309	2.818	7.120	-7.126	0.033
0.314	2.855	7.187	-7.102	0.033
0.318	2.885	7.248	-7.077	0.049
0.323	2.909	7.321	-7.077	0.041
0.328	2.958	7.376	-7.052	0.041
0.332	2.983	7.443	-7.028	0.041
0.337	3.019	7.516	-7.020	0.025
0.341	3.056	7.565	-7.003	0.033
0.346	3.080	7.632	-6.987	0.033
0.350	3.116	7.699	-6.962	0.025
0.355	3.153	7.772	-6.954	0.041
0.359	3.190	7.827	-6.930	0.049
0.364	3.214	7.888	-6.905	0.041
0.369	3.244	7.955	-6.897	0.033
0.373	3.275	8.022	-6.880	0.033
0.378	3.311	8.076	-6.856	0.033
0.382	3.336	8.143	-6.831	0.025
