Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
0.000	0.022	-2.280	-0.901	-0.221
0.006	0.053	-2.201	-0.885	-0.213
0.011	0.096	-2.128	-0.868	-0.197
0.017	0.138	-2.049	-0.844	-0.197
0.022	0.162	-1.969	-0.827	-0.188
0.028	0.205	-1.896	-0.803	-0.188
0.033	0.236	-1.823	-0.795	-0.180
0.039	0.272	-1.744	-0.770	-0.172
0.044	0.309	-1.665	-0.745	-0.147
0.050	0.345	-1.592	-0.737	-0.156
0.055	0.376	-1.531	-0.713	-0.139
0.061	0.412	-1.452	-0.704	-0.139
0.067	0.455	-1.373	-0.680	-0.131
0.072	0.485	-1.300	-0.672	-0.131
0.078	0.522	-1.227	-0.639	-0.106
0.083	0.558	-1.154	-0.623	-0.090
0.089	0.589	-1.081	-0.606	-0.098
0.094	0.625	-1.007	-0.582	-0.074
0.100	0.662	-0.941	-0.565	-0.082
0.105	0.698	-0.861	-0.557	-0.066
0.111	0.735	-0.794	-0.541	-0.057
0.117	0.759	-0.715	-0.508	-0.049
0.122	0.796	-0.648	-0.500	-0.049
0.128	0.826	-0.575	-0.491	-0.041
0.133	0.863	-0.502	-0.459	-0.041
0.139	0.893	-0.435	-0.442	-0.008
0.144	0.924	-0.356	-0.426	-0.008
0.150	0.954	-0.289	-0.410	-0.016
0.155	0.984	-0.222	-0.385	0.008
0.161	1.021	-0.143	-0.369	0.016
0.166	1.051	-0.076	-0.360	0.016
0.172	1.082	-0.009	-0.336	0.016
0.178	1.118	0.052	-0.328	0.041
0.183	1.149	0.119	-0.303	0.049
0.189	1.185	0.192	-0.278	0.041
0.194	1.204	0.253	-0.270	0.057
0.200	1.234	0.326	-0.254	0.057
0.205	1.277	0.399	-0.229	0.074
0.211	1.301	0.466	-0.213	0.082
0.216	1.331	0.533	-0.197	0.074
0.222	1.368	0.594	-0.188	0.090
0.228	1.398	0.667	-0.172	0.106
0.233	1.429	0.734	-0.156	0.106
0.239	1.459	0.801	-0.131	0.106
0.244	1.502	0.862	-0.123	0.115
0.250	1.520	0.929	-0.106	0.131
0.255	1.563	1.002	-0.090	0.147
0.261	1.587	1.063	-0.066	0.139
0.266	1.630	1.130	-0.057	0.156
0.272	1.660	1.190	-0.041	0.147
0.277	1.685	1.257	-0.016	0.156
0.283	1.715	1.324	-0.000	0.172
0.289	1.752	1.391	0.016	0.172
0.294	1.776	1.446	0.033	0.180
0.300	1.812	1.519	0.049	0.197
0.305	1.831	1.580	0.074	0.197
0.311	1.867	1.641	0.082	0.213
0.316	1.904	1.702	0.090	0.213
0.322	1.928	1.769	0.123	0.205
0.327	1.952	1.842	0.131	0.229
0.333	1.989	1.897	0.156	0.229
0.339	2.019	1.964	0.172	0.238
0.344	2.050	2.024	0.180	0.246
0.350	2.080	2.079	0.197	0.262
0.355	2.117	2.152	0.213	0.262
0.361	2.141	2.213	0.238	0.270
0.366	2.172	2.268	0.254	0.270
0.372	2.202	2.347	0.262	0.278
0.377	2.233	2.402	0.278	0.287
0.383	2.263	2.463	0.295	0.303
0.388	2.287	2.530	0.303	0.303
0.394	2.330	2.585	0.319	0.311
0.400	2.342	2.652	0.344	0.319
0.405	2.373	2.712	0.360	0.319
0.411	2.403	2.761	0.385	0.328
0.416	2.427	2.840	0.377	0.336
