Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
0.000	0.034	-1.232	-1.982	-0.713
0.006	0.071	-1.141	-1.949	-0.688
0.011	0.108	-1.074	-1.941	-0.680
0.017	0.144	-0.995	-1.925	-0.680
0.022	0.187	-0.915	-1.892	-0.663
0.028	0.217	-0.836	-1.917	-0.663
0.033	0.254	-0.763	-1.884	-0.655
0.039	0.296	-0.684	-1.876	-0.647
0.044	0.333	-0.611	-1.843	-0.647
0.050	0.369	-0.526	-1.835	-0.639
0.055	0.412	-0.459	-1.827	-0.623
0.061	0.436	-0.380	-1.810	-0.614
0.067	0.485	-0.301	-1.786	-0.623
0.072	0.522	-0.215	-1.769	-0.606
0.078	0.552	-0.148	-1.736	-0.606
0.083	0.582	-0.075	-1.720	-0.598
0.089	0.619	-0.002	-1.720	-0.582
0.094	0.662	0.077	-1.696	-0.582
0.100	0.698	0.156	-1.696	-0.573
0.105	0.716	0.223	-1.671	-0.573
0.111	0.753	0.290	-1.655	-0.549
0.117	0.808	0.375	-1.655	-0.557
0.122	0.832	0.442	-1.630	-0.549
0.128	0.869	0.521	-1.614	-0.541
0.133	0.905	0.582	-1.589	-0.532
0.139	0.936	0.655	-1.573	-0.532
0.144	0.978	0.728	-1.573	-0.532
0.150	1.003	0.808	-1.540	-0.508
0.155	1.039	0.881	-1.548	-0.508
0.161	1.076	0.954	-1.515	-0.500
0.166	1.100	1.021	-1.499	-0.491
0.172	1.136	1.088	-1.483	-0.491
0.178	1.167	1.167	-1.474	-0.475
0.183	1.197	1.228	-1.458	-0.467
0.189	1.228	1.295	-1.442	-0.459
0.194	1.258	1.368	-1.425	-0.467
0.200	1.289	1.435	-1.417	-0.451
0.205	1.325	1.508	-1.401	-0.442
0.211	1.350	1.575	-1.376	-0.442
0.216	1.380	1.642	-1.368	-0.442
0.222	1.410	1.709	-1.360	-0.434
0.228	1.459	1.776	-1.327	-0.426
0.233	1.483	1.843	-1.343	-0.426
0.239	1.520	1.903	-1.327	-0.410
0.244	1.544	1.976	-1.294	-0.401
0.250	1.575	2.031	-1.270	-0.393
0.255	1.605	2.117	-1.261	-0.393
0.261	1.636	2.171	-1.253	-0.385
0.266	1.666	2.232	-1.245	-0.377
0.272	1.703	2.311	-1.212	-0.369
0.277	1.733	2.372	-1.212	-0.360
0.283	1.764	2.433	-1.188	-0.352
0.289	1.788	2.494	-1.171	-0.352
0.294	1.831	2.567	-1.163	-0.352
0.300	1.855	2.622	-1.155	-0.344
0.305	1.885	2.683	-1.139	-0.336
0.311	1.910	2.750	-1.114	-0.328
0.316	1.940	2.817	-1.098	-0.328
0.322	1.964	2.884	-1.089	-0.319
0.327	2.001	2.945	-1.073	-0.311
0.333	2.044	3.005	-1.057	-0.319
0.339	2.074	3.066	-1.065	-0.303
0.344	2.098	3.127	-1.032	-0.295
0.350	2.123	3.188	-1.007	-0.287
0.355	2.159	3.255	-1.024	-0.287
0.361	2.184	3.310	-0.991	-0.270
0.366	2.220	3.371	-0.975	-0.278
0.372	2.251	3.438	-0.958	-0.270
0.377	2.275	3.492	-0.958	-0.254
0.383	2.299	3.547	-0.950	-0.262
0.388	2.342	3.614	-0.926	-0.246
0.394	2.360	3.675	-0.901	-0.246
0.400	2.391	3.736	-0.901	-0.254
0.405	2.421	3.803	-0.876	-0.229
0.411	2.458	3.858	-0.868	-0.229
0.416	2.488	3.919	-0.844	-0.229
0.422	2.518	3.986	-0.835	-0.221
0.427	2.549	4.034	-0.811	-0.205
0.433	2.573	4.101	-0.811	-0.205
0.438	2.610	4.150	-0.786	-0.197
0.444	2.640	4.223	-0.770	-0.205
0.450	2.665	4.272	-0.762	-0.188
0.455	2.695	4.333	-0.737	-0.164
0.461	2.719	4.387	-0.729	-0.180
0.466	2.756	4.454	-0.729	-0.172
0.472	2.774	4.515	-0.721	-0.156
0.477	2.811	4.570	-0.721	-0.164
0.483	2.835	4.631	-0.696	-0.156
0.488	2.872	4.692	-0.696	-0.147
0.494	2.890	4.747	-0.680	-0.131
0.499	2.914	4.801	-0.655	-0.139
0.505	2.945	4.862	-0.631	-0.131
0.511	2.975	4.917	-0.623	-0.123
0.516	2.999	4.966	-0.623	-0.115
0.522	3.024	5.027	-0.573	-0.115
0.527	3.054	5.088	-0.582	-0.106
0.533	3.073	5.142	-0.557	-0.106
0.538	3.109	5.197	-0.549	-0.090
0.544	3.133	5.252	-0.524	-0.090
0.549	3.164	5.307	-0.516	-0.082
0.555	3.176	5.368	-0.516	-0.082
0.561	3.206	5.416	-0.491	-0.082
0.566	3.243	5.477	-0.475	-0.082
0.572	3.267	5.532	-0.467	-0.066
