Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
0.000	0.009	-4.475	1.638	0.999
0.006	0.039	-4.408	1.638	1.007
0.011	0.064	-4.335	1.671	1.016
0.017	0.106	-4.262	1.696	1.024
0.022	0.143	-4.182	1.704	1.024
0.028	0.161	-4.115	1.736	1.048
0.033	0.197	-4.042	1.769	1.057
0.039	0.234	-3.975	1.777	1.073
0.044	0.252	-3.908	1.827	1.073
0.050	0.283	-3.835	1.827	1.089
0.055	0.319	-3.768	1.859	1.098
0.061	0.350	-3.683	1.884	1.114
0.067	0.386	-3.616	1.908	1.114
0.072	0.417	-3.543	1.925	1.130
0.078	0.453	-3.464	1.958	1.139
0.083	0.484	-3.409	1.966	1.139
0.089	0.508	-3.324	1.990	1.155
0.094	0.557	-3.257	2.007	1.171
0.100	0.581	-3.178	2.031	1.179
0.105	0.618	-3.117	2.064	1.179
0.111	0.642	-3.038	2.080	1.196
0.117	0.672	-2.971	2.097	1.212
0.122	0.703	-2.898	2.121	1.204
0.128	0.739	-2.831	2.146	1.220
0.133	0.764	-2.752	2.154	1.229
0.139	0.812	-2.685	2.171	1.237
0.144	0.825	-2.612	2.203	1.245
0.150	0.849	-2.532	2.220	1.270
0.155	0.879	-2.453	2.236	1.270
0.161	0.922	-2.386	2.269	1.278
0.166	0.959	-2.313	2.293	1.286
0.172	0.995	-2.252	2.293	1.294
0.178	1.025	-2.167	2.318	1.302
0.183	1.050	-2.094	2.334	1.311
0.189	1.080	-2.021	2.367	1.311
0.194	1.117	-1.942	2.375	1.335
0.200	1.147	-1.869	2.400	1.335
0.205	1.178	-1.802	2.425	1.352
0.211	1.208	-1.729	2.433	1.360
0.216	1.245	-1.656	2.457	1.376
0.222	1.275	-1.571	2.474	1.376
0.228	1.299	-1.504	2.498	1.384
0.233	1.336	-1.437	2.531	1.409
0.239	1.373	-1.363	2.531	1.401
0.244	1.403	-1.284	2.556	1.417
0.250	1.427	-1.223	2.572	1.417
0.255	1.464	-1.144	2.605	1.433
0.261	1.494	-1.071	2.605	1.442
0.266	1.525	-0.998	2.629	1.442
0.272	1.543	-0.919	2.637	1.458
0.277	1.573	-0.846	2.678	1.458
