Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
881.642	-0.006	0.006	0.066	0.025
881.705	-0.006	-0.006	0.057	0.033
881.767	0.006	-0.006	0.049	0.041
881.830	0.000	-0.006	0.041	0.049
881.892	0.000	0.006	0.057	0.041
881.955	0.000	-0.006	0.049	0.041
882.018	0.000	0.000	0.057	0.033
882.080	0.000	0.006	0.049	0.041
882.143	0.000	0.006	0.057	0.049
882.205	-0.006	0.000	0.057	0.033
882.268	0.000	-0.006	0.041	0.033
882.330	-0.006	0.006	0.057	0.041
882.393	0.000	0.006	0.057	0.033
882.455	-0.006	-0.006	0.057	0.041
882.518	-0.006	-0.006	0.049	0.033
882.580	0.000	0.000	0.041	0.033
882.643	-0.006	0.006	0.049	0.025
882.706	-0.006	-0.006	0.049	0.033
882.768	-0.006	-0.006	0.049	0.049
882.831	-0.006	-0.012	0.066	0.033
882.893	0.006	-0.012	0.057	0.041
882.956	0.000	-0.006	0.057	0.033
883.018	-0.006	-0.006	0.049	0.033
883.081	-0.006	0.000	0.049	0.041
883.143	0.000	-0.006	0.057	0.016
883.206	-0.006	0.000	0.066	0.033
883.269	0.006	-0.012	0.041	0.033
883.331	0.000	0.000	0.033	0.033
883.394	-0.006	0.000	0.049	0.033
883.456	0.006	0.000	0.057	0.033
883.519	-0.006	-0.006	0.057	0.041
883.581	0.000	0.000	0.057	0.033
883.644	-0.006	0.000	0.049	0.049
883.706	0.000	-0.012	0.057	0.033
883.769	-0.006	0.000	0.049	0.033
883.831	0.006	-0.006	0.057	0.033
883.894	-0.006	0.000	0.049	0.041
883.957	-0.012	-0.006	0.057	0.025
884.019	-0.012	-0.012	0.049	0.033
884.082	-0.006	-0.006	0.049	0.041
884.144	-0.006	0.000	0.049	0.033
884.207	-0.006	0.000	0.049	0.041
884.269	0.000	0.000	0.041	0.033
884.332	0.000	0.000	0.049	0.033
884.394	0.006	0.000	0.049	0.033
884.457	-0.006	-0.006	0.033	0.033
884.520	-0.006	0.006	0.025	0.033
884.582	-0.006	0.000	0.041	0.041
884.645	0.000	-0.006	0.066	0.041
884.707	-0.006	0.000	0.049	0.049
884.770	0.000	-0.006	0.049	0.041
884.832	-0.012	-0.006	0.057	0.033
884.895	-0.006	-0.006	0.057	0.025
884.957	-0.006	-0.006	0.049	0.041
885.020	-0.006	-0.006	0.049	0.033
885.082	-0.012	0.000	0.049	0.041
885.145	-0.006	0.000	0.041	0.025
