Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
1838.219	-0.003	0.001	0.049	0.041
1838.282	0.003	0.001	0.049	0.041
1838.344	0.009	0.001	0.049	0.041
1838.407	0.003	-0.005	0.057	0.033
1838.470	-0.009	-0.005	0.049	0.025
1838.532	-0.003	0.001	0.066	0.041
1838.595	0.003	-0.005	0.041	0.033
1838.657	-0.003	0.007	0.049	0.033
1838.720	-0.003	0.013	0.041	0.033
1838.782	0.003	-0.005	0.041	0.025
1838.845	0.003	-0.005	0.041	0.033
1838.907	0.003	-0.005	0.049	0.033
1838.970	-0.009	0.001	0.049	0.041
1839.033	-0.003	-0.011	0.033	0.033
1839.095	-0.003	-0.005	0.049	0.033
1839.158	-0.003	0.001	0.049	0.033
1839.220	-0.003	0.001	0.033	0.033
1839.283	0.003	0.001	0.033	0.033
1839.345	-0.003	-0.005	0.049	0.041
1839.408	-0.003	-0.011	0.033	0.041
1839.470	-0.003	-0.005	0.049	0.041
1839.533	0.003	-0.005	0.049	0.041
1839.595	-0.015	-0.005	0.049	0.049
1839.658	-0.003	-0.005	0.033	0.033
1839.721	0.003	-0.011	0.049	0.041
1839.783	0.003	-0.005	0.049	0.025
1839.846	-0.009	0.001	0.041	0.025
1839.908	0.003	-0.005	0.041	0.033
1839.971	0.003	-0.005	0.049	0.041
1840.033	-0.003	-0.005	0.049	0.033
1840.096	-0.003	-0.005	0.057	0.033
1840.158	0.003	-0.005	0.049	0.016
1840.221	-0.003	-0.005	0.033	0.033
1840.284	-0.003	0.007	0.041	0.033
1840.346	0.003	0.001	0.033	0.025
1840.409	-0.003	0.007	0.049	0.025
1840.471	0.003	0.001	0.049	0.033
1840.534	-0.003	0.007	0.057	0.041
1840.596	0.003	0.001	0.057	0.049
1840.659	0.003	-0.011	0.049	0.049
1840.721	0.003	-0.005	0.041	0.041
1840.784	-0.003	0.007	0.041	0.025
1840.846	-0.003	-0.005	0.041	0.041
1840.909	-0.003	0.001	0.057	0.041
1840.972	0.003	-0.011	0.049	0.049
1841.034	-0.003	0.001	0.033	0.033
1841.097	0.003	-0.011	0.033	0.041
1841.159	0.003	0.001	0.041	0.041
1841.222	-0.003	-0.005	0.041	0.033
1841.284	-0.003	0.001	0.041	0.033
1841.347	0.003	0.001	0.057	0.033
1841.409	0.003	-0.005	0.033	0.033
1841.472	-0.003	0.001	0.049	0.033
1841.535	-0.003	0.001	0.041	0.041
1841.597	-0.003	0.001	0.041	0.049
1841.660	-0.003	-0.005	0.033	0.041
1841.722	-0.003	0.001	0.041	0.033
1841.785	-0.003	-0.005	0.049	0.041
1841.847	0.003	-0.005	0.049	0.041
1841.910	0.003	0.001	0.041	0.033
1841.972	0.009	-0.005	0.057	0.033
1842.035	0.003	0.001	0.049	0.041
1842.097	-0.003	0.001	0.033	0.041
1842.160	-0.003	0.001	0.041	0.049
1842.223	-0.003	0.001	0.049	0.041
1842.285	-0.009	-0.005	0.057	0.033
1842.348	-0.003	0.001	0.041	0.033
1842.410	0.003	0.001	0.057	0.033
1842.473	-0.003	-0.005	0.041	0.033
1842.535	-0.003	0.001	0.057	0.049
1842.598	0.003	0.001	0.057	0.033
1842.660	-0.003	0.001	0.049	0.033
1842.723	0.003	-0.005	0.049	0.041
1842.786	0.003	0.001	0.049	0.041
1842.848	-0.003	-0.005	0.057	0.033
1842.911	-0.003	0.001	0.066	0.033
1842.973	-0.003	-0.005	0.049	0.049
1843.036	0.009	-0.011	0.041	0.033
1843.098	0.003	-0.005	0.066	0.033
1843.161	-0.003	0.001	0.057	0.041
1843.223	0.003	0.007	0.049	0.025
1843.286	-0.003	0.007	0.049	0.041
1843.348	-0.003	0.007	0.049	0.033
1843.411	-0.003	0.001	0.049	0.033
1843.474	-0.003	0.001	0.057	0.033
1843.536	-0.003	-0.005	0.033	0.041
1843.599	-0.009	0.001	0.049	0.033
1843.661	0.003	-0.005	0.041	0.033
1843.724	0.003	0.001	0.033	0.033
1843.786	-0.003	-0.005	0.041	0.033
1843.849	0.009	-0.005	0.049	0.033
1843.911	0.003	-0.005	0.057	0.033
1843.974	0.003	0.007	0.066	0.049
1844.037	-0.003	0.001	0.057	0.049
1844.099	0.003	0.001	0.049	0.033
1844.162	0.003	-0.005	0.049	0.041
1844.224	0.003	-0.005	0.049	0.041
1844.287	-0.003	0.001	0.057	0.033
1844.349	0.003	0.001	0.041	0.033
1844.412	0.003	-0.011	0.033	0.033
1844.474	-0.009	0.001	0.041	0.041
1844.537	0.003	0.001	0.049	0.033
1844.599	-0.003	0.001	0.041	0.025
1844.662	-0.003	0.001	0.057	0.033
1844.725	0.003	0.001	0.041	0.033
1844.787	0.003	-0.005	0.041	0.041
1844.850	0.003	0.001	0.049	0.041
1844.912	-0.003	-0.005	0.041	0.041
1844.975	0.003	-0.005	0.041	0.041
1845.037	0.003	0.001	0.033	0.041
1845.100	-0.003	-0.005	0.033	0.033
1845.162	-0.003	-0.011	0.049	0.033
1845.225	-0.003	0.001	0.057	0.049
1845.288	-0.003	-0.005	0.049	0.049
1845.350	0.003	-0.005	0.049	0.033
1845.413	-0.003	-0.005	0.049	0.033
1845.475	0.003	0.001	0.033	0.041
1845.538	-0.003	-0.011	0.049	0.041
1845.600	-0.003	0.001	0.033	0.041
1845.663	0.003	-0.005	0.041	0.016
1845.725	0.003	-0.011	0.049	0.033
1845.788	-0.003	-0.005	0.041	0.033
1845.850	-0.003	0.001	0.041	0.033
1845.913	-0.003	0.001	0.025	0.041
1845.976	-0.003	-0.011	0.057	0.033
1846.038	0.003	-0.005	0.049	0.041
1846.101	-0.009	-0.005	0.049	0.025
1846.163	-0.003	-0.005	0.049	0.033
1846.226	0.003	-0.005	0.049	0.025
1846.288	0.003	0.001	0.049	0.041
1846.351	0.009	0.001	0.041	0.033
1846.413	0.009	0.001	0.057	0.033
1846.476	0.003	0.007	0.033	0.041
1846.539	-0.009	-0.005	0.033	0.041
1846.601	-0.003	-0.005	0.033	0.041
1846.664	-0.003	-0.005	0.057	0.025
1846.726	-0.003	0.007	0.049	0.041
1846.789	-0.003	0.001	0.033	0.033
