Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
0.000	0.003	0.001	0.049	0.041
0.063	-0.003	-0.011	0.041	0.033
0.125	-0.003	-0.011	0.049	0.033
0.188	0.003	0.001	0.049	0.033
0.250	-0.003	0.007	0.049	0.033
0.313	0.003	-0.005	0.049	0.041
0.375	-0.009	0.001	0.049	0.049
0.438	-0.009	-0.005	0.049	0.033
0.500	0.003	-0.005	0.041	0.049
0.563	0.003	0.001	0.049	0.041
0.625	-0.009	0.001	0.066	0.041
0.688	-0.003	-0.005	0.049	0.041
0.751	0.003	0.001	0.033	0.041
0.813	-0.003	-0.005	0.041	0.041
0.876	-0.009	-0.005	0.049	0.025
0.938	0.003	0.001	0.033	0.033
1.001	0.003	-0.005	0.057	0.041
1.063	0.003	-0.011	0.049	0.033
1.126	-0.003	-0.005	0.049	0.033
1.188	-0.003	-0.005	0.033	0.033
1.251	-0.003	0.001	0.049	0.033
1.314	0.003	0.001	0.041	0.041
1.376	0.003	-0.005	0.057	0.041
1.439	-0.003	-0.011	0.033	0.033
1.501	0.009	0.001	0.057	0.041
1.564	0.003	0.001	0.049	0.041
1.626	-0.003	-0.005	0.049	0.041
1.689	-0.003	-0.005	0.049	0.041
1.751	0.009	0.001	0.057	0.041
1.814	-0.003	0.001	0.049	0.041
1.876	0.009	-0.005	0.049	0.041
1.939	0.009	-0.005	0.057	0.025
2.002	0.003	-0.005	0.041	0.033
2.064	0.003	-0.011	0.049	0.033
2.127	0.003	0.007	0.041	0.041
2.189	0.003	0.001	0.057	0.041
2.252	-0.009	-0.005	0.066	0.033
2.314	-0.003	-0.005	0.049	0.041
2.377	-0.003	-0.005	0.057	0.033
2.439	-0.003	-0.005	0.057	0.033
2.502	-0.003	-0.005	0.057	0.041
2.565	-0.003	0.001	0.049	0.033
2.627	-0.003	-0.005	0.066	0.033
2.690	0.003	0.001	0.041	0.033
2.752	0.003	0.001	0.057	0.041
2.815	0.003	0.001	0.041	0.025
2.877	-0.003	-0.005	0.049	0.041
2.940	-0.009	0.001	0.041	0.049
3.002	0.003	-0.005	0.049	0.025
3.065	-0.003	0.001	0.041	0.033
3.127	-0.003	-0.005	0.033	0.041
3.190	0.003	-0.011	0.049	0.033
3.253	0.003	0.007	0.049	0.049
3.315	0.009	-0.005	0.049	0.033
3.378	-0.003	0.001	0.041	0.049
3.440	-0.003	0.001	0.041	0.025
3.503	0.003	0.001	0.057	0.041
3.565	0.003	0.001	0.041	0.033
3.628	0.003	-0.005	0.049	0.033
3.690	0.003	-0.005	0.041	0.041
3.753	0.009	0.001	0.049	0.033
3.816	0.003	-0.005	0.057	0.041
3.878	-0.003	0.007	0.041	0.033
3.941	0.003	-0.005	0.049	0.033
4.003	0.003	-0.005	0.049	0.033
4.066	0.003	-0.005	0.049	0.033
4.128	0.003	0.001	0.049	0.041
4.191	0.003	-0.005	0.049	0.049
4.253	0.003	0.001	0.033	0.033
4.316	0.009	-0.005	0.049	0.041
4.378	-0.003	0.001	0.041	0.025
4.441	-0.003	-0.005	0.049	0.033
4.504	0.003	-0.005	0.033	0.033
4.566	0.003	0.007	0.057	0.049
4.629	0.003	-0.005	0.033	0.033
4.691	0.003	-0.005	0.041	0.049
4.754	0.003	-0.005	0.041	0.041
4.816	0.003	0.001	0.041	0.033
4.879	0.003	0.001	0.049	0.033
4.941	-0.003	0.001	0.041	0.041
5.004	-0.003	-0.005	0.041	0.041
5.067	0.009	0.007	0.049	0.041
5.129	0.009	-0.005	0.041	0.041
5.192	0.003	0.001	0.049	0.033
