Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
0.000	0.016	-4.346	2.040	1.065
0.006	0.053	-4.272	2.064	1.065
0.011	0.077	-4.212	2.080	1.073
0.017	0.114	-4.139	2.097	1.081
0.022	0.144	-4.072	2.130	1.089
0.028	0.168	-3.999	2.146	1.106
0.033	0.205	-3.925	2.171	1.122
0.039	0.223	-3.865	2.171	1.122
0.044	0.254	-3.791	2.195	1.122
0.050	0.284	-3.725	2.220	1.147
0.055	0.308	-3.651	2.236	1.139
0.061	0.345	-3.578	2.261	1.163
0.067	0.363	-3.518	2.269	1.155
0.072	0.400	-3.451	2.285	1.171
0.078	0.430	-3.377	2.310	1.179
0.083	0.454	-3.304	2.334	1.196
0.089	0.485	-3.231	2.351	1.204
0.094	0.521	-3.164	2.375	1.212
0.100	0.546	-3.085	2.384	1.212
0.105	0.570	-3.018	2.408	1.229
0.111	0.588	-2.957	2.433	1.245
0.117	0.637	-2.884	2.441	1.245
0.122	0.668	-2.811	2.465	1.245
0.128	0.698	-2.738	2.474	1.261
0.133	0.728	-2.677	2.506	1.270
0.139	0.759	-2.598	2.515	1.278
0.144	0.789	-2.537	2.539	1.278
0.150	0.826	-2.458	2.556	1.294
0.155	0.850	-2.385	2.564	1.302
0.161	0.881	-2.318	2.588	1.311
0.166	0.911	-2.239	2.597	1.311
0.172	0.942	-2.172	2.629	1.311
0.178	0.972	-2.105	2.637	1.319
0.183	0.996	-2.032	2.646	1.335
0.189	1.039	-1.953	2.662	1.343
0.194	1.051	-1.886	2.695	1.360
0.200	1.088	-1.807	2.703	1.352
0.205	1.118	-1.746	2.711	1.368
0.211	1.155	-1.673	2.744	1.368
0.216	1.167	-1.600	2.752	1.376
0.222	1.197	-1.521	2.777	1.401
0.228	1.228	-1.454	2.785	1.392
0.233	1.246	-1.381	2.801	1.401
0.239	1.282	-1.326	2.809	1.409
0.244	1.301	-1.241	2.834	1.417
0.250	1.337	-1.174	2.867	1.417
0.255	1.356	-1.094	2.859	1.433
0.261	1.374	-1.027	2.875	1.433
0.266	1.410	-0.960	2.900	1.450
0.272	1.429	-0.887	2.908	1.450
0.277	1.459	-0.814	2.924	1.458
0.283	1.489	-0.747	2.941	1.458
0.289	1.514	-0.662	2.949	1.458
0.294	1.544	-0.595	2.965	1.474
0.300	1.569	-0.528	2.973	1.491
0.305	1.605	-0.461	2.990	1.474
0.311	1.636	-0.376	3.022	1.483
0.316	1.660	-0.315	3.031	1.499
0.322	1.690	-0.236	3.031	1.499
0.327	1.715	-0.163	3.047	1.507
0.333	1.751	-0.096	3.055	1.515
0.339	1.776	-0.017	3.080	1.524
0.344	1.812	0.044	3.088	1.524
0.350	1.836	0.129	3.104	1.532
0.355	1.861	0.190	3.104	1.532
0.361	1.885	0.257	3.121	1.548
0.366	1.910	0.336	3.137	1.548
0.372	1.934	0.403	3.145	1.564
0.377	1.977	0.464	3.162	1.564
0.383	2.001	0.543	3.170	1.556
